gene_symbol,association_score,disease
SAG,0.426937844222346,Type 2 Diabetes
PLEKHM3,0.4262964776639634,Type 2 Diabetes
VPS33B,0.4251064868726179,Type 2 Diabetes
ADRB1,0.4250613014921922,Type 2 Diabetes
GALNT3,0.4242221350110507,Type 2 Diabetes
EYA1,0.424157227119329,Type 2 Diabetes
LDHB,0.423007694802584,Type 2 Diabetes
HUWE1,0.4228978288284487,Type 2 Diabetes
ATP1B2,0.4228375335434952,Type 2 Diabetes
CHD1L,0.4228327189316023,Type 2 Diabetes
FOXP1,0.4225847899365872,Type 2 Diabetes
TSC22D2,0.4223677143761913,Type 2 Diabetes
JMY,0.4215854964564176,Type 2 Diabetes
PDE4B,0.4214802611740107,Type 2 Diabetes
CPEB3,0.421118248114769,Type 2 Diabetes
MANSC4,0.4210824282218839,Type 2 Diabetes
SMAD3,0.4210582425180788,Type 2 Diabetes
PIM3,0.4208982901718199,Type 2 Diabetes
SLC39A10,0.4207747099352035,Type 2 Diabetes
PPP2R3A,0.4203739773003533,Type 2 Diabetes
IGF2BP3,0.4203504497373767,Type 2 Diabetes
NCR3LG1,0.4196126891468836,Type 2 Diabetes
PPP4R3A,0.4195044913331124,Type 2 Diabetes
SGIP1,0.4188405871442685,Type 2 Diabetes
DMRT2,0.4187629022475109,Type 2 Diabetes
SIDT1,0.4184184648105007,Type 2 Diabetes
CDKN2C,0.4169156516198317,Type 2 Diabetes
SLC38A11,0.4168669936566775,Type 2 Diabetes
NRXN3,0.416788980217735,Type 2 Diabetes
RELN,0.4166595768114092,Type 2 Diabetes
GLP2R,0.4162416734857924,Type 2 Diabetes
MEF2C,0.4161248382180965,Type 2 Diabetes
FNDC3B,0.4156022030392812,Type 2 Diabetes
CCDC92,0.4154682719458087,Type 2 Diabetes
CADPS,0.4154122202841485,Type 2 Diabetes
CERKL,0.4150455003895071,Type 2 Diabetes
CYTH1,0.4149198947688749,Type 2 Diabetes
RPAP1,0.4141018598721273,Type 2 Diabetes
PNOC,0.4139039909931711,Type 2 Diabetes
WRN,0.4134590033808659,Type 2 Diabetes
FOXA2,0.4133827948914523,Type 2 Diabetes
TH,0.413370289795477,Type 2 Diabetes
FOCAD,0.4133377624675124,Type 2 Diabetes
CACNA2D3,0.4131779330844862,Type 2 Diabetes
PATJ,0.4130492683700081,Type 2 Diabetes
JMJD1C,0.4128288473269027,Type 2 Diabetes
CNR1,0.4123076256201901,Type 2 Diabetes
BMAL1,0.4117117390112751,Type 2 Diabetes
SORBS2,0.4113474273491929,Type 2 Diabetes
PIK3R1,0.4112409105063887,Type 2 Diabetes
TCF12,0.4108872180934993,Type 2 Diabetes
PSTPIP1,0.4107492205215972,Type 2 Diabetes
ERBB4,0.4101159302693228,Type 2 Diabetes
FAF1,0.409995926674036,Type 2 Diabetes
ZC3H12C,0.4097971017155085,Type 2 Diabetes
TNIP1,0.4097254134918431,Type 2 Diabetes
LIN7A,0.4092909792521482,Type 2 Diabetes
EPC2,0.4087644094168604,Type 2 Diabetes
TOMM7,0.408761557136555,Type 2 Diabetes
SKI,0.4080773976364663,Type 2 Diabetes
COL27A1,0.4077373268918785,Type 2 Diabetes
LAMC1,0.4077252285227574,Type 2 Diabetes
PLEKHM2,0.4076580312999447,Type 2 Diabetes
MAP2K5,0.4070375898571466,Type 2 Diabetes
PCGF3,0.4068951390404918,Type 2 Diabetes
NMI,0.4068341261468909,Type 2 Diabetes
KDM2B,0.4068264826034063,Type 2 Diabetes
IFNLR1,0.4067513443274491,Type 2 Diabetes
FITM2,0.4066506336128673,Type 2 Diabetes
KLLN,0.4063724606246994,Type 2 Diabetes
NRF1,0.4059177981830857,Type 2 Diabetes
