action_type,binding_site_comment,direct_interaction,disease_efficacy,max_phase,mec_id,mechanism_comment,mechanism_of_action,mechanism_refs,molecular_mechanism,molecule_chembl_id,parent_molecule_chembl_id,record_id,selectivity_comment,site_id,target_chembl_id,variant_sequence,gene_symbol
AGONIST,,1,1,4,551,,Insulin receptor agonist,"[{'ref_id': 'label/2015/022472s006s008lbl.pdf', 'ref_type': 'FDA', 'ref_url': 'http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/022472s006s008lbl.pdf'}]",1,CHEMBL1201539,CHEMBL1201539,3130922,,,CHEMBL1981,,INSR
AGONIST,,1,1,4,556,,Insulin receptor agonist,"[{'ref_id': 'label/2015/022472s006s008lbl.pdf', 'ref_type': 'FDA', 'ref_url': 'http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/022472s006s008lbl.pdf'}]",1,CHEMBL1201627,CHEMBL1201627,3130888,,,CHEMBL1981,,INSR
AGONIST,,1,1,4,559,,Insulin receptor agonist,"[{'ref_id': 'setid=3a1e73a2-3009-40d0-876c-b4cb2be56fc5', 'ref_type': 'DailyMed', 'ref_url': 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3a1e73a2-3009-40d0-876c-b4cb2be56fc5'}]",1,CHEMBL1201496,CHEMBL1201496,1697254,,,CHEMBL1981,,INSR
AGONIST,,1,1,4,560,,Insulin receptor agonist,"[{'ref_id': 'setid=3a1e73a2-3009-40d0-876c-b4cb2be56fc5', 'ref_type': 'DailyMed', 'ref_url': 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3a1e73a2-3009-40d0-876c-b4cb2be56fc5'}]",1,CHEMBL1201664,CHEMBL1201664,3130921,,,CHEMBL1981,,INSR
AGONIST,,1,1,4,561,,Insulin receptor agonist,"[{'ref_id': 'setid=2b8d9730-686b-444b-9941-7b5877255924', 'ref_type': 'DailyMed', 'ref_url': 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2b8d9730-686b-444b-9941-7b5877255924'}]",1,CHEMBL2104391,CHEMBL2104391,1700814,,,CHEMBL1981,,INSR
AGONIST,,1,1,4,2409,,Insulin receptor agonist,"[{'ref_id': 'setid=456c5e87-3dfd-46fa-8ac0-c6128d4c97c6', 'ref_type': 'DailyMed', 'ref_url': 'http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=456c5e87-3dfd-46fa-8ac0-c6128d4c97c6'}]",1,CHEMBL2107869,CHEMBL2107869,1695958,,,CHEMBL1981,,INSR
INHIBITOR,,1,1,2,4675,,Insulin receptor inhibitor,"[{'ref_id': '19996272', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/19996272'}, {'ref_id': '21875414', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/21875414'}]",1,CHEMBL575448,CHEMBL575448,2473713,,,CHEMBL1981,,INSR
INHIBITOR,,1,1,2,4750,,Insulin receptor inhibitor,"[{'ref_id': '10.1158/1538-7445.AM2013-920', 'ref_type': 'DOI', 'ref_url': 'http://cancerres.aacrjournals.org/content/73/8_Supplement/920'}]",1,CHEMBL5283463,CHEMBL5315324,2473153,,,CHEMBL1981,,INSR
INHIBITOR,,1,1,3,5310,,Insulin receptor inhibitor,"[{'ref_id': '17671083', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/17671083'}, {'ref_id': '21425998', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/21425998'}, {'ref_id': '25208878', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/25208878'}]",1,CHEMBL1091644,CHEMBL1091644,1702601,,,CHEMBL1981,,INSR
AGONIST,,1,1,3,5566,,Insulin receptor agonist,"[{'ref_id': '26988411', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/26988411'}, {'ref_id': '27723227', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/27723227'}]",1,CHEMBL2108569,CHEMBL2108569,1697417,,,CHEMBL1981,,INSR
